step,active_vehicles,total_system_wait
0,1,0.0
10,14,0.0
20,27,5.0
30,41,8.0
40,54,32.0
50,66,83.0
60,78,173.0
70,91,289.0
80,102,416.0
90,115,592.0
100,125,770.0
110,137,913.0
120,151,1072.0
130,161,1290.0
140,170,1576.0
150,181,1994.0
160,192,2327.0
170,201,2551.0
180,213,2716.0
190,218,2770.0
200,226,3076.0
210,234,3348.0
220,244,3657.0
230,253,3892.0
240,261,3998.0
250,267,4058.0
260,277,4173.0
270,281,4342.0
280,282,4551.0
290,285,4771.0
300,290,4881.0
310,295,5124.0
320,302,5480.0
330,309,5816.0
340,309,5904.0
350,313,6006.0
360,318,6137.0
370,325,6326.0
380,331,6325.0
390,337,6284.0
400,336,6142.0
410,337,5966.0
420,339,5793.0
430,341,5705.0
440,341,5871.0
450,345,6224.0
460,349,6194.0
470,348,5925.0
480,352,6145.0
490,355,6363.0
500,357,6426.0
510,363,6437.0
520,367,6457.0
530,369,6847.0
540,371,6952.0
550,371,7153.0
560,373,7200.0
570,378,7328.0
580,374,7121.0
590,377,7156.0
600,382,7237.0
610,382,7331.0
620,374,7170.0
630,374,7016.0
640,372,6999.0
650,372,6769.0
660,374,6762.0
670,377,6773.0
680,376,6883.0
690,380,6908.0
700,386,6928.0
710,376,6834.0
720,376,6925.0
730,373,6930.0
740,375,6971.0
750,377,6992.0
760,376,6847.0
770,373,6991.0
780,374,7219.0
790,377,7365.0
800,373,7468.0
810,372,7626.0
820,373,8044.0
830,374,8118.0
840,378,8129.0
850,379,8310.0
860,379,8386.0
870,379,8216.0
880,377,8063.0
890,370,7878.0
900,375,7995.0
910,373,8094.0
920,378,8215.0
930,381,8319.0
940,372,8190.0
950,368,8081.0
960,376,8472.0
970,376,8837.0
980,381,9050.0
990,383,8779.0
1000,389,8602.0
1010,380,8640.0
1020,366,8891.0
1030,356,9222.0
1040,346,9404.0
1050,336,9567.0
1060,326,9658.0
1070,320,9861.0
1080,312,10207.0
1090,300,10395.0
1100,293,10565.0
1110,281,10258.0
1120,273,9885.0
1130,269,9750.0
1140,257,9850.0
1150,251,10136.0
1160,246,10060.0
1170,243,9744.0
1180,236,9374.0
1190,226,9260.0
1200,220,9128.0
1210,217,9044.0
1220,208,8612.0
1230,202,8153.0
1240,192,7314.0
1250,188,6683.0
1260,177,6168.0
1270,168,5728.0
1280,159,5229.0
1290,151,4804.0
1300,143,4488.0
1310,132,4236.0
1320,127,4062.0
1330,124,3979.0
1340,117,3840.0
1350,108,3683.0
1360,102,3525.0
1370,92,3352.0
1380,91,3269.0
1390,88,3215.0
1400,81,3096.0
1410,76,2897.0
1420,69,2783.0
1430,65,2560.0
1440,62,2275.0
1450,62,1975.0
1460,58,1614.0
1470,52,1448.0
1480,48,1308.0
1490,45,1137.0
1500,44,1053.0
1510,44,1096.0
1520,38,1113.0
1530,36,1072.0
1540,31,1028.0
1550,28,1033.0
1560,23,1032.0
1570,22,1001.0
1580,19,943.0
1590,18,904.0
1600,17,884.0
1610,16,851.0
1620,14,782.0
1630,13,761.0
1640,13,762.0
1650,13,722.0
1660,13,672.0
1670,13,622.0
1680,10,518.0
1690,9,469.0
1700,6,439.0
1710,6,401.0
1720,6,386.0
1730,6,364.0
1740,6,341.0
1750,5,301.0
1760,5,261.0
1770,5,221.0
1780,4,159.0
1790,4,129.0
1800,4,96.0
1810,4,79.0
1820,4,72.0
1830,3,68.0
1840,2,58.0
1850,2,48.0
1860,2,38.0
1870,2,28.0
1880,1,18.0
1890,0,0.0
1900,0,0.0
1910,0,0.0
1920,0,0.0
1930,0,0.0
1940,0,0.0
1950,0,0.0
1960,0,0.0
1970,0,0.0
1980,0,0.0
1990,0,0.0
2000,0,0.0
2010,0,0.0
2020,0,0.0
2030,0,0.0
2040,0,0.0
2050,0,0.0
2060,0,0.0
2070,0,0.0
2080,0,0.0
2090,0,0.0
2100,0,0.0
2110,0,0.0
2120,0,0.0
2130,0,0.0
2140,0,0.0
2150,0,0.0
2160,0,0.0
2170,0,0.0
2180,0,0.0
2190,0,0.0
2200,0,0.0
2210,0,0.0
2220,0,0.0
2230,0,0.0
2240,0,0.0
2250,0,0.0
2260,0,0.0
2270,0,0.0
2280,0,0.0
2290,0,0.0
2300,0,0.0
2310,0,0.0
2320,0,0.0
2330,0,0.0
2340,0,0.0
2350,0,0.0
2360,0,0.0
2370,0,0.0
2380,0,0.0
2390,0,0.0
2400,0,0.0
2410,0,0.0
2420,0,0.0
2430,0,0.0
2440,0,0.0
2450,0,0.0
2460,0,0.0
2470,0,0.0
2480,0,0.0
2490,0,0.0
2500,0,0.0
2510,0,0.0
2520,0,0.0
2530,0,0.0
2540,0,0.0
2550,0,0.0
2560,0,0.0
2570,0,0.0
2580,0,0.0
2590,0,0.0
2600,0,0.0
2610,0,0.0
2620,0,0.0
2630,0,0.0
2640,0,0.0
2650,0,0.0
2660,0,0.0
2670,0,0.0
2680,0,0.0
2690,0,0.0
2700,0,0.0
2710,0,0.0
2720,0,0.0
2730,0,0.0
2740,0,0.0
2750,0,0.0
2760,0,0.0
2770,0,0.0
2780,0,0.0
2790,0,0.0
2800,0,0.0
2810,0,0.0
2820,0,0.0
2830,0,0.0
2840,0,0.0
2850,0,0.0
2860,0,0.0
2870,0,0.0
2880,0,0.0
2890,0,0.0
2900,0,0.0
2910,0,0.0
2920,0,0.0
2930,0,0.0
2940,0,0.0
2950,0,0.0
2960,0,0.0
2970,0,0.0
2980,0,0.0
2990,0,0.0
3000,0,0.0
3010,0,0.0
3020,0,0.0
3030,0,0.0
3040,0,0.0
3050,0,0.0
3060,0,0.0
3070,0,0.0
3080,0,0.0
3090,0,0.0
3100,0,0.0
3110,0,0.0
3120,0,0.0
3130,0,0.0
3140,0,0.0
3150,0,0.0
3160,0,0.0
3170,0,0.0
3180,0,0.0
3190,0,0.0
3200,0,0.0
3210,0,0.0
3220,0,0.0
3230,0,0.0
3240,0,0.0
3250,0,0.0
3260,0,0.0
3270,0,0.0
3280,0,0.0
3290,0,0.0
3300,0,0.0
3310,0,0.0
3320,0,0.0
3330,0,0.0
3340,0,0.0
3350,0,0.0
3360,0,0.0
3370,0,0.0
3380,0,0.0
3390,0,0.0
3400,0,0.0
3410,0,0.0
3420,0,0.0
3430,0,0.0
3440,0,0.0
3450,0,0.0
3460,0,0.0
3470,0,0.0
3480,0,0.0
3490,0,0.0
3500,0,0.0
3510,0,0.0
3520,0,0.0
3530,0,0.0
3540,0,0.0
3550,0,0.0
3560,0,0.0
3570,0,0.0
3580,0,0.0
3590,0,0.0
